Studentennummer, Minor1, Minor2, Minor3, Minor4, Minor5, Minor6, Minor7
"2578,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,,,,"
"2510,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,,,,"
"1423,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Concepting,Minor Crossmedia,Minor Crossmedia"
"2463,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Concepting,,"
"1461,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Crossmedia,,"
"1669,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,,,"
"2525,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Transmedia Storytelling,"
"2574,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,"
"2908,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Multimediaal Reclamebureau,,,"
"2464,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,"
"2835,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,"
"2869,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,"
"2806,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,"
"2515,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,"
"1703,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,"
"2765,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,"
"1241,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Crossmedia,Minor Crossmedia,,"
"2963,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,,"
"2538,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Ondernemen,Minor 3D,,,"
"2472,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Ondernemen,,,,"
"2730,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor The Next Web,,,,"
"2997,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,Minor Multimediaal Reclamebureau,,,"
"1393,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,,"
"2683,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,,"
"3218,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,,"
"766,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,,"
"1281,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,,"
"1309,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,,"
"1530,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,,"
"2506,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,,"
"2791,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,,,"
"3193,Minor Crossmedia,Minor Crossmedia,Minor Game Design,,,,,"
"3159,Minor Crossmedia,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Concepting,,,,"
"3179,Minor Crossmedia,Minor Crossmedia,Minor Multimediaal Reclamebureau,,,,,"
"2450,Minor Crossmedia,Minor Crossmedia,Minor The Next Web,Minor The Next Web,Minor Multimediaal Reclamebureau,,,"
"2720,Minor Crossmedia,Minor Crossmedia,Minor The Next Web,,,,,"
"3140,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,Minor 3D,,,,"
"3253,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,Minor Multimediaal Reclamebureau,,,,"
"3190,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,,,"
"3210,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,,,"
"3302,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,,,"
"3312,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,,,,"
"2927,Minor Crossmedia,Minor Crossmedia,,,,,,"
"3215,Minor Crossmedia,Minor Crossmedia,,,,,,"
"1430,Minor Crossmedia,Minor Game Design,Minor Crossmedia,Minor Crossmedia,,,,"
"2983,Minor Crossmedia,Minor Game Design,Minor The Next Web,Minor Multimediaal Reclamebureau,,,,"
"3450,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Art \'n\' Sound,,,,,"
"2414,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Concepting,Minor Concepting,Minor Concepting,Minor Concepting,,"
"2740,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Concepting,Minor Multimediaal Reclamebureau,,,,"
"2592,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,"
"818,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Crossmedia,,,,,"
"1647,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,Minor Art \'n\' Sound,,,,"
"1636,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,,,"
"2408,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,Minor The Next Web,Minor The Next Web,Minor Multimediaal Reclamebureau,,"
"2547,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,,,,"
"3297,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,,,,"
"1255,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor The Next Web,Minor The Next Web,Minor The Next Web,,,"
"2438,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor The Next Web,,,,,"
"742,Minor Crossmedia,Minor Multimediaal Reclamebureau,,,,,,"
"3149,Minor Crossmedia,Minor Multimediaal Reclamebureau,,,,,,"
"1684,Minor Crossmedia,Minor The Next Web,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Concepting,Minor Art \'n\' Sound,"
"2757,Minor Crossmedia,Minor The Next Web,Minor The Next Web,Minor The Next Web,Minor The Next Web,Minor The Next Web,,"
"3283,Minor Crossmedia,Minor The Next Web,Minor The Next Web,Minor The Next Web,,,,"
"1477,Minor Crossmedia,Minor The Next Web,,,,,,"
"3323,Minor Crossmedia,Minor Transmedia Storytelling,Minor Art \'n\' Sound,,,,,"
"3463,Minor Crossmedia,Minor Transmedia Storytelling,Minor Multimediaal Reclamebureau,,,,,"
"3311,Minor Crossmedia,Minor Transmedia Storytelling,Minor Transmedia Storytelling,,,,,"
"3319,Minor Crossmedia,Minor Transmedia Storytelling,Minor Transmedia Storytelling,,,,,"
